rowID,stamp,datetime,hum
4892998,1497830107, 2017/6/18 23:55:7,69.10
4893999,1497830108, 2017/6/18 23:55:8,69.10
4895000,1497830109, 2017/6/18 23:55:9,69.20
4895998,1497830110, 2017/6/18 23:55:10,69.20
4897000,1497830111, 2017/6/18 23:55:11,69.20
4897999,1497830112, 2017/6/18 23:55:12,69.30
4898999,1497830113, 2017/6/18 23:55:13,69.30
4899998,1497830114, 2017/6/18 23:55:14,69.30
4900999,1497830115, 2017/6/18 23:55:15,69.30
4901999,1497830116, 2017/6/18 23:55:16,69.20
4902999,1497830117, 2017/6/18 23:55:17,69.20
4903999,1497830118, 2017/6/18 23:55:18,69.10
4904998,1497830119, 2017/6/18 23:55:19,69.10
4905999,1497830120, 2017/6/18 23:55:20,69.00
4906999,1497830121, 2017/6/18 23:55:21,69.00
4907999,1497830122, 2017/6/18 23:55:22,69.00
4908999,1497830123, 2017/6/18 23:55:23,68.90
4909999,1497830124, 2017/6/18 23:55:24,68.90
4910999,1497830125, 2017/6/18 23:55:25,68.80
4911998,1497830126, 2017/6/18 23:55:26,68.80
4912999,1497830127, 2017/6/18 23:55:27,68.90
4914000,1497830128, 2017/6/18 23:55:28,68.90
4914999,1497830129, 2017/6/18 23:55:29,68.90
4915999,1497830130, 2017/6/18 23:55:30,68.70
4916999,1497830131, 2017/6/18 23:55:31,68.70
4917998,1497830132, 2017/6/18 23:55:32,68.70
4918999,1497830133, 2017/6/18 23:55:33,68.70
4920000,1497830134, 2017/6/18 23:55:34,68.60
4920998,1497830135, 2017/6/18 23:55:35,68.60
4922000,1497830136, 2017/6/18 23:55:36,68.60
4922999,1497830137, 2017/6/18 23:55:37,68.60
4923999,1497830138, 2017/6/18 23:55:38,68.60
4924999,1497830139, 2017/6/18 23:55:39,68.60
4925999,1497830140, 2017/6/18 23:55:40,68.60
4926999,1497830141, 2017/6/18 23:55:41,68.70
4928000,1497830142, 2017/6/18 23:55:42,68.70
4928999,1497830143, 2017/6/18 23:55:43,68.70
4929999,1497830144, 2017/6/18 23:55:44,68.60
4930999,1497830145, 2017/6/18 23:55:45,68.60
4931999,1497830146, 2017/6/18 23:55:46,68.70
4932999,1497830147, 2017/6/18 23:55:47,68.70
4933998,1497830148, 2017/6/18 23:55:48,68.70
4935000,1497830149, 2017/6/18 23:55:49,68.70
4935999,1497830150, 2017/6/18 23:55:50,68.70
4936998,1497830151, 2017/6/18 23:55:51,68.90
4937999,1497830152, 2017/6/18 23:55:52,68.90
4938999,1497830153, 2017/6/18 23:55:53,68.90
4939999,1497830154, 2017/6/18 23:55:54,68.90
4940999,1497830155, 2017/6/18 23:55:55,69.00
4941999,1497830156, 2017/6/18 23:55:56,69.00
4942999,1497830157, 2017/6/18 23:55:57,69.00
4943998,1497830158, 2017/6/18 23:55:58,69.00
4945000,1497830159, 2017/6/18 23:55:59,69.00
4945999,1497830160, 2017/6/18 23:56:0,69.00
4946999,1497830161, 2017/6/18 23:56:1,69.00
4947999,1497830162, 2017/6/18 23:56:2,69.10
4948999,1497830163, 2017/6/18 23:56:3,69.10
4949999,1497830164, 2017/6/18 23:56:4,69.20
4951000,1497830165, 2017/6/18 23:56:5,69.20
4951999,1497830166, 2017/6/18 23:56:6,69.20
4952998,1497830167, 2017/6/18 23:56:7,69.20
4953999,1497830168, 2017/6/18 23:56:8,69.20
4954999,1497830169, 2017/6/18 23:56:9,69.20
4955999,1497830170, 2017/6/18 23:56:10,69.20
4956998,1497830171, 2017/6/18 23:56:11,69.20
4957999,1497830172, 2017/6/18 23:56:12,69.20
4959000,1497830173, 2017/6/18 23:56:13,69.20
4959998,1497830174, 2017/6/18 23:56:14,69.20
4960999,1497830175, 2017/6/18 23:56:15,69.20
4961999,1497830176, 2017/6/18 23:56:16,69.30
4962999,1497830177, 2017/6/18 23:56:17,69.30
4963999,1497830178, 2017/6/18 23:56:18,69.40
4964999,1497830179, 2017/6/18 23:56:19,69.40
4965998,1497830180, 2017/6/18 23:56:20,69.40
4967000,1497830181, 2017/6/18 23:56:21,69.40
4967999,1497830182, 2017/6/18 23:56:22,69.40
4968999,1497830183, 2017/6/18 23:56:23,69.40
4969999,1497830184, 2017/6/18 23:56:24,69.40
4970999,1497830185, 2017/6/18 23:56:25,69.50
4971999,1497830186, 2017/6/18 23:56:26,69.50
4972999,1497830187, 2017/6/18 23:56:27,69.40
4973999,1497830188, 2017/6/18 23:56:28,69.40
4974999,1497830189, 2017/6/18 23:56:29,69.50
4975998,1497830190, 2017/6/18 23:56:30,69.50
4977000,1497830191, 2017/6/18 23:56:31,69.50
4977999,1497830192, 2017/6/18 23:56:32,69.50
4979000,1497830193, 2017/6/18 23:56:33,69.50
4979998,1497830194, 2017/6/18 23:56:34,69.50
4980999,1497830195, 2017/6/18 23:56:35,69.50
4981999,1497830196, 2017/6/18 23:56:36,69.40
4982999,1497830197, 2017/6/18 23:56:37,69.40
4983999,1497830198, 2017/6/18 23:56:38,69.40
4984998,1497830199, 2017/6/18 23:56:39,69.40
4986000,1497830200, 2017/6/18 23:56:40,69.30
4986999,1497830201, 2017/6/18 23:56:41,69.30
4988000,1497830202, 2017/6/18 23:56:42,69.30
4988998,1497830203, 2017/6/18 23:56:43,69.30
4989999,1497830204, 2017/6/18 23:56:44,69.30
4990999,1497830205, 2017/6/18 23:56:45,69.30
4991998,1497830206, 2017/6/18 23:56:46,69.30
4992999,1497830207, 2017/6/18 23:56:47,69.30
4993999,1497830208, 2017/6/18 23:56:48,69.30
4995000,1497830209, 2017/6/18 23:56:49,69.30
4995999,1497830210, 2017/6/18 23:56:50,69.30
4997000,1497830211, 2017/6/18 23:56:51,69.40
4997999,1497830212, 2017/6/18 23:56:52,69.40
4999000,1497830213, 2017/6/18 23:56:53,69.30
4999999,1497830214, 2017/6/18 23:56:54,69.30
5000999,1497830215, 2017/6/18 23:56:55,69.30
5001999,1497830216, 2017/6/18 23:56:56,69.30
5002998,1497830217, 2017/6/18 23:56:57,69.30
5003999,1497830218, 2017/6/18 23:56:58,69.30
5004998,1497830219, 2017/6/18 23:56:59,69.30
5006000,1497830220, 2017/6/18 23:57:0,69.30
5006999,1497830221, 2017/6/18 23:57:1,69.30
5007998,1497830222, 2017/6/18 23:57:2,69.30
5008999,1497830223, 2017/6/18 23:57:3,69.30
5009999,1497830224, 2017/6/18 23:57:4,69.30
5011000,1497830225, 2017/6/18 23:57:5,69.30
5012000,1497830226, 2017/6/18 23:57:6,69.30
5012999,1497830227, 2017/6/18 23:57:7,69.20
5013999,1497830228, 2017/6/18 23:57:8,69.20
5015000,1497830229, 2017/6/18 23:57:9,69.20
5015999,1497830230, 2017/6/18 23:57:10,69.20
5016999,1497830231, 2017/6/18 23:57:11,69.20
5017999,1497830232, 2017/6/18 23:57:12,69.20
5018999,1497830233, 2017/6/18 23:57:13,69.20
5019999,1497830234, 2017/6/18 23:57:14,69.20
5020999,1497830235, 2017/6/18 23:57:15,69.20
5022000,1497830236, 2017/6/18 23:57:16,69.30
5022999,1497830237, 2017/6/18 23:57:17,69.30
5024000,1497830238, 2017/6/18 23:57:18,69.20
5025000,1497830239, 2017/6/18 23:57:19,69.20
5025998,1497830240, 2017/6/18 23:57:20,69.20
5026998,1497830241, 2017/6/18 23:57:21,69.20
5027999,1497830242, 2017/6/18 23:57:22,69.20
5028999,1497830243, 2017/6/18 23:57:23,69.30
5029998,1497830244, 2017/6/18 23:57:24,69.30
5030999,1497830245, 2017/6/18 23:57:25,69.30
5031999,1497830246, 2017/6/18 23:57:26,69.30
5032998,1497830247, 2017/6/18 23:57:27,69.30
5033999,1497830248, 2017/6/18 23:57:28,69.30
5034998,1497830249, 2017/6/18 23:57:29,69.30
5035999,1497830250, 2017/6/18 23:57:30,69.30
5036998,1497830251, 2017/6/18 23:57:31,69.30
5037999,1497830252, 2017/6/18 23:57:32,69.30
5038999,1497830253, 2017/6/18 23:57:33,69.30
5039998,1497830254, 2017/6/18 23:57:34,69.30
5040999,1497830255, 2017/6/18 23:57:35,69.30
5041999,1497830256, 2017/6/18 23:57:36,69.30
5042999,1497830257, 2017/6/18 23:57:37,69.30
5043999,1497830258, 2017/6/18 23:57:38,69.30
5044999,1497830259, 2017/6/18 23:57:39,69.30
5045999,1497830260, 2017/6/18 23:57:40,69.20
5046999,1497830261, 2017/6/18 23:57:41,69.20
5047999,1497830262, 2017/6/18 23:57:42,69.20
5048998,1497830263, 2017/6/18 23:57:43,69.20
5049999,1497830264, 2017/6/18 23:57:44,69.20
5050999,1497830265, 2017/6/18 23:57:45,69.20
5051999,1497830266, 2017/6/18 23:57:46,69.20
5052998,1497830267, 2017/6/18 23:57:47,69.30
5054000,1497830268, 2017/6/18 23:57:48,69.30
5055000,1497830269, 2017/6/18 23:57:49,69.30
5055998,1497830270, 2017/6/18 23:57:50,69.30
5057000,1497830271, 2017/6/18 23:57:51,69.30
5057999,1497830272, 2017/6/18 23:57:52,69.30
5058999,1497830273, 2017/6/18 23:57:53,69.30
5059999,1497830274, 2017/6/18 23:57:54,69.30
5061000,1497830275, 2017/6/18 23:57:55,69.30
5061999,1497830276, 2017/6/18 23:57:56,69.30
5063000,1497830277, 2017/6/18 23:57:57,69.40
5063999,1497830278, 2017/6/18 23:57:58,69.40
5064999,1497830279, 2017/6/18 23:57:59,69.30
5065999,1497830280, 2017/6/18 23:58:0,69.30
5066999,1497830281, 2017/6/18 23:58:1,69.30
5067999,1497830282, 2017/6/18 23:58:2,69.30
5068999,1497830283, 2017/6/18 23:58:3,69.30
5069999,1497830284, 2017/6/18 23:58:4,69.30
5071000,1497830285, 2017/6/18 23:58:5,69.30
5071998,1497830286, 2017/6/18 23:58:6,69.30
5073000,1497830287, 2017/6/18 23:58:7,69.30
5074000,1497830288, 2017/6/18 23:58:8,69.30
5075000,1497830289, 2017/6/18 23:58:9,69.30
5075998,1497830290, 2017/6/18 23:58:10,69.30
5077000,1497830291, 2017/6/18 23:58:11,69.30
5077999,1497830292, 2017/6/18 23:58:12,69.30
5078999,1497830293, 2017/6/18 23:58:13,69.30
5080000,1497830294, 2017/6/18 23:58:14,69.30
5080998,1497830295, 2017/6/18 23:58:15,69.30
5081999,1497830296, 2017/6/18 23:58:16,69.30
5082999,1497830297, 2017/6/18 23:58:17,69.40
5083999,1497830298, 2017/6/18 23:58:18,69.40
5084998,1497830299, 2017/6/18 23:58:19,69.40
5085999,1497830300, 2017/6/18 23:58:20,69.40
5086999,1497830301, 2017/6/18 23:58:21,69.40
5087998,1497830302, 2017/6/18 23:58:22,69.40
5088999,1497830303, 2017/6/18 23:58:23,69.40
5089999,1497830304, 2017/6/18 23:58:24,69.40
5091000,1497830305, 2017/6/18 23:58:25,69.40
5091999,1497830306, 2017/6/18 23:58:26,69.30
5092999,1497830307, 2017/6/18 23:58:27,69.30
5093998,1497830308, 2017/6/18 23:58:28,69.30
5094999,1497830309, 2017/6/18 23:58:29,69.30
5095999,1497830310, 2017/6/18 23:58:30,69.40
5096998,1497830311, 2017/6/18 23:58:31,69.40
5097999,1497830312, 2017/6/18 23:58:32,69.40
5098999,1497830313, 2017/6/18 23:58:33,69.40
5099999,1497830314, 2017/6/18 23:58:34,69.20
5100999,1497830315, 2017/6/18 23:58:35,69.20
5102000,1497830316, 2017/6/18 23:58:36,69.20
5102999,1497830317, 2017/6/18 23:58:37,69.30
5103998,1497830318, 2017/6/18 23:58:38,69.30
5104999,1497830319, 2017/6/18 23:58:39,69.30
5105999,1497830320, 2017/6/18 23:58:40,69.30
5107000,1497830321, 2017/6/18 23:58:41,69.30
5107999,1497830322, 2017/6/18 23:58:42,69.30
5108999,1497830323, 2017/6/18 23:58:43,69.30
5109999,1497830324, 2017/6/18 23:58:44,69.40
5110999,1497830325, 2017/6/18 23:58:45,69.40
5111999,1497830326, 2017/6/18 23:58:46,69.30
5112999,1497830327, 2017/6/18 23:58:47,69.30
5114000,1497830328, 2017/6/18 23:58:48,69.30
5114999,1497830329, 2017/6/18 23:58:49,69.30
5115999,1497830330, 2017/6/18 23:58:50,69.30
5116999,1497830331, 2017/6/18 23:58:51,69.30
5117999,1497830332, 2017/6/18 23:58:52,69.30
5119000,1497830333, 2017/6/18 23:58:53,69.30
5119998,1497830334, 2017/6/18 23:58:54,69.30
5121000,1497830335, 2017/6/18 23:58:55,69.30
5121999,1497830336, 2017/6/18 23:58:56,69.30
5122999,1497830337, 2017/6/18 23:58:57,69.30
5123999,1497830338, 2017/6/18 23:58:58,69.30
5125000,1497830339, 2017/6/18 23:58:59,69.30
5125999,1497830340, 2017/6/18 23:59:0,69.40
5126999,1497830341, 2017/6/18 23:59:1,69.40
5127999,1497830342, 2017/6/18 23:59:2,69.50
5128998,1497830343, 2017/6/18 23:59:3,69.50
5129999,1497830344, 2017/6/18 23:59:4,69.50
5130998,1497830345, 2017/6/18 23:59:5,69.50
5132000,1497830346, 2017/6/18 23:59:6,69.50
5132999,1497830347, 2017/6/18 23:59:7,69.50
5134000,1497830348, 2017/6/18 23:59:8,69.50
5134999,1497830349, 2017/6/18 23:59:9,69.50
5136000,1497830350, 2017/6/18 23:59:10,69.40
5136999,1497830351, 2017/6/18 23:59:11,69.40
